rank,title,citations,downloads,article_type,top %
93,MeMemo: On-device Retrieval Augmentation for Private and Personalized Text Generation,0,268,short-paper,23.91
93,UGNCL: Uncertainty-Guided Noisy Correspondence Learning for Efficient Cross-Modal Matching,0,268,research-article,23.91
96,FeB4RAG: Evaluating Federated Search in the Context of Retrieval Augmented Generation,0,266,research-article,24.68
97,Generative Retrieval as Multi-Vector Dense Retrieval,1,262,research-article,24.94
98,EEG-SVRec: An EEG Dataset with User Multidimensional Affective Engagement Labels in Short Video Recommendation,0,259,research-article,25.19
98,DHMAE: A Disentangled Hypergraph Masked Autoencoder for Group Recommendation,0,259,research-article,25.19
100,TRAD: Enhancing LLM Agents with Step-Wise Thought Retrieval and Aligned Decision,0,256,research-article,25.71
101,Multi-view Mixed Attention for Contrastive Learning on Hypergraphs,0,254,short-paper,25.96
102,Modeling Domains as Distributions with Uncertainty for Cross-Domain Recommendation,0,253,short-paper,26.22
103,Beyond Accuracy: Investigating Error Types in GPT-4 Responses to USMLE Questions,0,251,research-article,26.48
104,Planning Ahead in Generative Retrieval: Guiding Autoregressive Generation through Simultaneous Decoding,0,247,research-article,26.74
105,An Empirical Analysis on Multi-turn Conversational Recommender Systems,0,246,research-article,26.99
106,Fairness-Aware Exposure Allocation via Adaptive Reranking,0,242,research-article,27.25
107,NativE: Multi-modal Knowledge Graph Completion in the Wild,0,241,research-article,27.51
108,On the Negative Perception of Cross-domain Recommendations and Explanations,0,237,research-article,27.76
108,Are Large Language Models Good at Utility Judgments?,1,237,research-article,27.76
108,M3oE: Multi-Domain Multi-Task Mixture-of Experts Recommendation Framework,0,237,research-article,27.76
111,Can Query Expansion Improve Generalization of Strong Cross-Encoder Rankers?,0,234,short-paper,28.53
112,Optimal Transport Enhanced Cross-City Site Recommendation,0,233,research-article,28.79
113,Characterizing Information Seeking Processes with Multiple Physiological Signals,2,232,research-article,29.05
113,Can We Trust Recommender System Fairness Evaluation? The Role of Fairness and Relevance,0,232,research-article,29.05
115,Graph Diffusive Self-Supervised Learning for Social Recommendation,0,229,short-paper,29.56
116,CLLP: Contrastive Learning Framework Based on Latent Preferences for Next POI Recommendation,0,228,research-article,29.82
117,Multimodal Representation and Retrieval [MRR 2024],0,225,short-paper,30.08
118,TGOnline: Enhancing Temporal Graph Learning with Adaptive Online Meta-Learning,0,224,research-article,30.33
118,SelfGNN: Self-Supervised Graph Neural Networks for Sequential Recommendation,0,224,research-article,30.33
120,Neural Passage Quality Estimation for Static Pruning,0,220,research-article,30.85
120,Unbiased Learning-to-Rank Needs Unconfounded Propensity Estimation,0,220,research-article,30.85
122,Unbiased Learning to Rank Meets Reality: Lessons from Baidu's Large-Scale Search Dataset,0,219,research-article,31.36
123,"Search under Uncertainty: Cognitive Biases and Heuristics: A Tutorial on Testing, Mitigating and Accounting for Cognitive Biases in Search Experiments",0,216,tutorial,31.62
124,Representation Learning and Information Retrieval,0,214,keynote,31.88
125,"""In-Context Learning"" or: How I learned to stop worrying and love ""Applied Information Retrieval""",0,213,research-article,32.13
125,Self-Explainable Next POI Recommendation,0,213,short-paper,32.13
125,LLMGR: Large Language Model-based Generative Retrieval in Alipay Search,0,213,short-paper,32.13
128,Sequential Recommendation with Collaborative Explanation via Mutual Information Maximization,0,211,research-article,32.9
128,Rethinking the Evaluation of Dialogue Systems: Effects of User Feedback on Crowdworkers and LLMs,0,211,research-article,32.9
130,Unsupervised Cross-Domain Image Retrieval with Semantic-Attended Mixture-of-Experts,0,210,research-article,33.42
131,Amazon-KG: A Knowledge Graph Enhanced Cross-Domain Recommendation Dataset,0,208,research-article,33.68
132,Timeline Summarization in the Era of LLMs,0,206,short-paper,33.93
132,FineRec: Exploring Fine-grained Sequential Recommendation,0,206,research-article,33.93
134,Collaborative Filtering Based on Diffusion Models: Unveiling the Potential of High-Order Connectivity,0,205,research-article,34.45
135,Exploring the Trade-Off within Visual Information for MultiModal Sentence Summarization,0,204,research-article,34.7
136,Gen-IR @ SIGIR 2024: The Second Workshop on Generative Information Retrieval,0,201,short-paper,34.96
137,ReFer: Retrieval-Enhanced Vertical Federated Recommendation for Full Set User Benefit,0,200,research-article,35.22
138,DAC: Quantized Optimal Transport Reward-based Reinforcement Learning Approach to Detoxify Query Auto-Completion,0,199,research-article,35.48
139,SPLATE: Sparse Late Interaction Retrieval,0,197,short-paper,35.73
140,General-Purpose User Modeling with Behavioral Logs: A Snapchat Case Study,0,196,short-paper,35.99
140,A Semantic Search Engine for Helping Patients Find Doctors and Locations in a Large Healthcare Organization,0,196,short-paper,35.99
142,Cluster-based Partial Dense Retrieval Fused with Sparse Text Retrieval,0,194,short-paper,36.5
142,Behavior Pattern Mining-based Multi-Behavior Recommendation,0,194,short-paper,36.5
144,Multimodality Invariant Learning for Multimedia-Based New Item Recommendation,0,193,research-article,37.02
144,Hypergraph Convolutional Network for User-Oriented Fairness in Recommender Systems,0,193,research-article,37.02
144,Minimizing Live Experiments in Recommender Systems: User Simulation to Evaluate Preference Elicitation Policies,0,193,short-paper,37.02
147,A Persona-Infused Cross-Task Graph Network for Multimodal Emotion Recognition with Emotion Shift Detection in Conversations,0,192,short-paper,37.79
148,Explainable Uncertainty Attribution for Sequential Recommendation,0,191,short-paper,38.05
148,unKR: A Python Library for Uncertain Knowledge Graph Reasoning by Representation Learning,0,191,short-paper,38.05
148,Self-Improving Teacher Cultivates Better Student: Distillation Calibration for Multimodal Large Language Models,0,191,research-article,38.05
148,OpenSiteRec: An Open Dataset for Site Recommendation,0,191,research-article,38.05
152,GPT4Rec: Graph Prompt Tuning for Streaming Recommendation,0,190,research-article,39.07
153,A Question-Answering Assistant over Personal Knowledge Graph,0,189,short-paper,39.33
154,Reinforcing Long-Term Performance in Recommender Systems with User-Oriented Exploration Policy,1,188,research-article,39.59
154,Legal Statute Identification: A Case Study using State-of-the-Art Datasets and Methods,0,188,research-article,39.59
156,An E-Commerce Dataset Revealing Variations during Sales,0,185,research-article,40.1
156,Capability-aware Prompt Reformulation Learning for Text-to-Image Generation,0,185,research-article,40.1
156,Let Me Show You Step by Step: An Interpretable Graph Routing Network for Knowledge-based Visual Question Answering,0,185,research-article,40.1
159,ResumeFlow: An LLM-facilitated Pipeline for Personalized Resume Generation and Refinement,0,184,short-paper,40.87
159,MIND Your Language: A Multilingual Dataset for Cross-lingual News Recommendation,1,184,research-article,40.87
161,Multi-Layer Ranking with Large Language Models for News Source Recommendation,0,183,short-paper,41.39
161,Retrieval-Augmented Conversational Recommendation with Prompt-based Semi-Structured Natural Language State Tracking,1,183,short-paper,41.39
163,Cross-reconstructed Augmentation for Dual-target Cross-domain Recommendation,0,182,short-paper,41.9
163,SIGformer: Sign-aware Graph Transformer for Recommendation,2,182,research-article,41.9
165,Leveraging LLMs for Detecting and Modeling the Propagation of Misinformation in Social Networks,0,181,abstract,42.42
166,CorpusLM: Towards a Unified Language Model on Corpus for Knowledge-Intensive Tasks,0,180,research-article,42.67
167,Towards Robust QA Evaluation via Open LLMs,0,179,short-paper,42.93
167,Using Large Language Models for Math Information Retrieval,0,179,short-paper,42.93
169,Drop your Decoder: Pre-training with Bag-of-Word Prediction for Dense Passage Retrieval.,0,178,research-article,43.44
170,AFDGCF: Adaptive Feature De-correlation Graph Collaborative Filtering for Recommendations,0,177,research-article,43.7
171,Simple but Effective Raw-Data Level Multimodal Fusion for Composed Image Retrieval,0,176,research-article,43.96
172,Robust Information Retrieval,0,174,tutorial,44.22
173,Negative Sampling Techniques for Dense Passage Retrieval in a Multilingual Setting,0,173,research-article,44.47
173,Can LLMs Master Math? Investigating Large Language Models on Math Stack Exchange,0,173,short-paper,44.47
175,Disentangling ID and Modality Effects for Session-based Recommendation,0,172,research-article,44.99
176,Are We Really Achieving Better Beyond-Accuracy Performance in Next Basket Recommendation?,0,170,research-article,45.24
176,Surprising Efficacy of Fine-Tuned Transformers for Fact-Checking over Larger Language Models,0,170,short-paper,45.24
178,A Learning-to-Rank Formulation of Clustering-Based Approximate Nearest Neighbor Search,0,169,short-paper,45.76
178,Transformer-based Reasoning for Learning Evolutionary Chain of Events on Temporal Knowledge Graph,0,169,research-article,45.76
180,Homogeneous-listing-augmented Self-supervised Multimodal Product Title Refinement,0,167,short-paper,46.27
180,Evaluating Search System Explainability with Psychometrics and Crowdsourcing,0,167,research-article,46.27
180,IdmGAE: Importance-Inspired Dynamic Masking for Graph Autoencoders,0,167,short-paper,46.27
183,CLIP-Branches: Interactive Fine-Tuning for Text-Image Retrieval,0,166,short-paper,47.04
184,Synthetic Query Generation using Large Language Models for Virtual Assistants,0,165,short-paper,47.3
185,Exogenous and Endogenous Data Augmentation for Low-Resource Complex Named Entity Recognition,0,164,research-article,47.56
185,Mutual Information-based Preference Disentangling and Transferring for Non-overlapped Multi-target Cross-domain Recommendations,0,164,research-article,47.56
187,Optimizing Learning-to-Rank Models for Ex-Post Fair Relevance,0,163,research-article,48.07
187,Embedding Based Deduplication in E-commerce AutoComplete,0,163,short-paper,48.07
189,Improving Embedding-Based Retrieval in Friend Recommendation with ANN Query Expansion,0,162,short-paper,48.59
190,Neural Click Models for Recommender Systems,0,161,short-paper,48.84
191,DDPO: Direct Dual Propensity Optimization for Post-Click Conversion Rate Estimation,0,160,research-article,49.1
191,Counterfactual Ranking Evaluation with Flexible Click Models,1,160,research-article,49.1
191,Generative Retrieval via Term Set Generation,0,160,research-article,49.1
194,Leave No Patient Behind: Enhancing Medication Recommendation for Rare Disease Patients,0,159,research-article,49.87
194,Dataset and Models for Item Recommendation Using Multi-Modal User Interactions,0,159,research-article,49.87
196,ProCIS: A Benchmark for Proactive Retrieval in Conversations,0,157,research-article,50.39
196,Combining Large Language Models and Crowdsourcing for Hybrid Human-AI Misinformation Detection,0,157,short-paper,50.39
198,ScholarNodes: Applying Content-based Filtering to Recommend Interdisciplinary Communities within Scholarly Social Networks,0,156,short-paper,50.9
198,Contrast then Memorize: Semantic Neighbor Retrieval-Enhanced Inductive Multimodal Knowledge Graph Completion,0,156,research-article,50.9
200,CFIR: Fast and Effective Long-Text To Image Retrieval for Large Corpora,0,155,research-article,51.41
200,Synthetic Test Collections for Retrieval Evaluation,0,155,short-paper,51.41
202,Resources for Combining Teaching and Research in Information Retrieval Coursework,1,154,research-article,51.93
203,Truth-O-Meter: Handling Multiple Inconsistent Sources Repairing LLM Hallucinations,0,153,short-paper,52.19
203,GATS: Generative Audience Targeting System for Online Advertising,0,153,short-paper,52.19
205,Configurable Fairness for New Item Recommendation Considering Entry Time of Items,0,152,research-article,52.7
205,Sequential Recommendation for Optimizing Both Immediate Feedback and Long-term Retention,0,152,research-article,52.7
207,Dynamic Demonstration Retrieval and Cognitive Understanding for Emotional Support Conversation,0,149,research-article,53.21
207,Misinformation Mitigation Praxis: Lessons Learned and Future Directions from Co·Insights,0,149,short-paper,53.21
209,Predicting Micro-video Popularity via Multi-modal Retrieval Augmentation,0,147,short-paper,53.73
210,MIRROR: A Multi-View Reciprocal Recommender System for Online Recruitment,0,146,research-article,53.98
210,Striking the Right Chord: A Comprehensive Approach to Amazon Music Search Spell Correction,0,146,short-paper,53.98
210,CivilSum: A Dataset for Abstractive Summarization of Indian Court Decisions,0,146,research-article,53.98
210,Revisit Targeted Model Poisoning on Federated Recommendation: Optimize via Multi-objective Transport,0,146,research-article,53.98
210,Multilingual Meta-Distillation Alignment for Semantic Retrieval,0,146,research-article,53.98
215,Unifying Graph Retrieval and Prompt Tuning for Graph-Grounded Text Classification,0,145,short-paper,55.27
